KYC对账号,发行人,信用主体简称,信用主体,KYC expiry date,KYC Status
0046【Fuchun】,HANGZHOU FUYANG CHENGTOU GROUP HK LTD,杭州富阳城投,杭州富阳城市建设投资集团有限公司,,需QRC确认Existing
0045【OX】,BOCOM INTERNATIONAL BLOSSOM LTD,交银国际,交银国际控股有限公司,,需QRC确认Existing
0044【BMHK 2021】,BOCOM LEASING MANAGEMENT HONG KONG CO LTD,交银金租,交银金融租赁有限责任公司,,需QRC确认Existing
0043【Lotus II】,CHINA EVERBRIGHT BANK CO LTD/HONG KONG,光大银行,中国光大银行股份有限公司,,需QRC确认Existing
0042【Rose Bay V】,SHINSUN HOLDINGS GROUP CO LTD,祥生控股,祥生控股(集团)有限公司,,需QRC确认Existing
0041【Ingenuity V】,HAIMEN ZHONGNAN INVESTMENT DEVELOPMENT INTERNATIONAL CO LTD,江苏中南建设,江苏中南建设集团股份有限公司,,需QRC确认Existing
0040【Hing 2021】,INDUSTRIAL BANK CO LTD/HONG KONG,兴业银行,兴业银行股份有限公司,,需QRC确认Existing
0039【CX II】,CSCIF ASIA LTD,中信建投,中信建投证券股份有限公司,,需QRC确认Existing
0038【Bridge IV】,QINGDAO JIAOZHOU BAY DEVELOPMENT GROUP CO LTD,青岛胶州湾,青岛胶州湾发展集团有限公司,,需QRC确认Existing
0037【Uranus】,YANGO JUSTICE INTERNATIONAL LTD,阳光城集团,阳光城集团股份有限公司,,需QRC确认Existing
0036【Truimph】,GREENLAND HONG KONG HOLDINGS LTD,绿地香港,绿地香港控股有限公司,,需QRC确认Existing
0035【Champion】,TIMES CHINA HOLDINGS LTD,时代中国控股,时代中国控股有限公司,,需QRC确认Existing
0034【Caijin】,SFG INTERNATIONAL HOLDINGS CO LTD,山东财金,山东省财金投资集团有限公司,,需QRC确认Existing
0033【Lushan】,JIUJIANG MUNICIPAL DEVELOPMENT GROUP CO LTD,九江城发,九江市城市发展集团有限公司,,需QRC确认Existing
0032【Republic】,GUOREN PROPERTY & CASUALTY INSURANCE CO LTD,国任财险,国任财产保险股份有限公司,,需QRC确认Existing
0031【Fact】,COASTAL EMERALD LTD,山东高速,山东高速集团有限公司,,需QRC确认Existing
0030【Hean】,CRCC HEAN LTD,中国铁建,中国铁建股份有限公司,,需QRC确认Existing
0029【Surf】,CHINA WATER AFFAIRS GROUP LTD,中国水务,中国水务集团有限公司,,需QRC确认Existing
0028【Value】,CIFI HOLDINGS GROUP CO LTD,旭辉控股,旭辉控股(集团)有限公司,,需QRC确认Existing
0027【Rocket】,ZHONGLIANG HOLDINGS GROUP CO LTD,中梁控股,中梁控股集团有限公司,,需QRC确认Existing
0026【Plum Blossom】,ENN CLEAN ENERGY INTERNATIONAL INVESTMENT LTD,新奥股份,新奥天然气股份有限公司,,需QRC确认Existing
0025【Lodestone】,WANDA PROPERTIES OVERSEAS LTD,万达商管,大连万达商业管理集团股份有限公司,,需QRC确认Existing
0024【Horizon】,HYD INTERNATIONAL HOLDING LTD,中航汽车系统,中国航空汽车系统控股有限公司,,需QRC确认Existing
0023【Ox】,CHANG DEVELOPMENT INTERNATIONAL LTD,长发集团,长春市城市发展投资控股(集团)有限公司,,需QRC确认Existing
