Date,R_SOFR
4/30/2019,2.76
4/29/2019,2.48
4/26/2019,2.46
4/25/2019,2.45
4/24/2019,2.44
4/23/2019,2.46
4/22/2019,2.46
4/18/2019,2.5
4/17/2019,2.5
4/16/2019,2.47
4/15/2019,2.47
4/12/2019,2.44
4/11/2019,2.44
4/10/2019,2.45
4/9/2019,2.45
4/8/2019,2.46
4/5/2019,2.46
4/4/2019,2.46
4/3/2019,2.47
4/2/2019,2.46
4/1/2019,2.46
3/29/2019,2.65
3/28/2019,2.43
3/27/2019,2.4
3/26/2019,2.4
3/25/2019,2.4
3/22/2019,2.4
3/21/2019,2.44
3/20/2019,2.47
3/19/2019,2.42
3/18/2019,2.41
3/15/2019,2.46
3/14/2019,2.42
3/13/2019,2.4
3/12/2019,2.39
3/11/2019,2.38
3/8/2019,2.39
3/7/2019,2.38
3/6/2019,2.38
3/5/2019,2.38
3/4/2019,2.38
3/1/2019,2.38
2/28/2019,2.58
2/27/2019,2.37
2/26/2019,2.38
2/25/2019,2.38
2/22/2019,2.4
2/21/2019,2.39
2/20/2019,2.39
2/19/2019,2.4
2/15/2019,2.43
2/14/2019,2.39
2/13/2019,2.38
2/12/2019,2.39
2/11/2019,2.4
2/8/2019,2.37
2/7/2019,2.38
2/6/2019,2.38
2/5/2019,2.4
2/4/2019,2.4
2/1/2019,2.47
1/31/2019,2.58
1/30/2019,2.39
1/29/2019,2.4
1/28/2019,2.39
1/25/2019,2.4
1/24/2019,2.41
1/23/2019,2.4
1/22/2019,2.41
1/18/2019,2.42
1/17/2019,2.41
1/16/2019,2.43
1/15/2019,2.46
1/14/2019,2.4
1/11/2019,2.41
1/10/2019,2.43
1/9/2019,2.45
1/8/2019,2.42
1/7/2019,2.41
